FNFNUM,GENUS,SPECIES,TAXON
348,Cyrtosperma,chamissonis,Cyrtosperma chamissonis
1864,Cytisus,ardoini,Cytisus ardoini
1865,Cytisus,ingramii,Cytisus ingramii
1866,Cytisus,multiflorus,Cytisus multiflorus
1867,Cytisus,patens,Cytisus patens
349,Cytisus,scoparius,Cytisus scoparius
1868,Cytisus,sp,Cytisus sp
1869,Cytisus,striatus,Cytisus striatus
1870,Cytisus,tribracteolatus,Cytisus tribracteolatus
350,Daemonorops,draco,Daemonorops draco
1871,Dalbergia,nitidula,Dalbergia nitidula
1872,Dalbergia,paniculata,Dalbergia paniculata
1498,Dalbergia,sericea,Dalbergia sericea
351,Daphne,genkwa,Daphne genkwa
352,Daphne,mezereum,Daphne mezereum
353,Datura,candida,Datura candida
354,Datura,innoxia,Datura innoxia
355,Datura,metel,Datura metel
356,Datura,stramonium,Datura stramonium
357,Daucus,carota,Daucus carota
1358,Davilla,rugosa,Davilla rugosa
1359,Davilla,sp.,Davilla sp.
358,Dendrobium,nobile,Dendrobium nobile
1728,Dendroseris,neriifolia,Dendroseris neriifolia
1499,Derris,trifoliata,Derris trifoliata
1873,Desmodium,gangeticum,Desmodium gangeticum
1500,Desmodium,pulchellum,Desmodium pulchellum
1729,Dichrostachys,glomerata,Dichrostachys glomerata
1501,Dicliptera,roxburghiana,Dicliptera roxburghiana
1730,Dicoma,tomentosa,Dicoma tomentosa
359,Dictamnus,albus,Dictamnus albus
1992,Dictamnus,angustifolius,Dictamnus angustifolius
1993,Dictamnus,caucasicus,Dictamnus caucasicus
1994,Dictamnus,hispanicus,Dictamnus hispanicus
360,Dieffenbachia,seguine,Dieffenbachia seguine
361,Digitalis,lanata,Digitalis lanata
1502,Dillenia,anhamanica,Dillenia anhamanica
1503,Dillenia,aurea,Dillenia aurea
1504,Dillenia,bracteata,Dillenia bracteata
1155,Dillenia,indica,Dillenia indica
1505,Dillenia,pentagyna,Dillenia pentagyna
1156,Dillenia,retusa,Dillenia retusa
1506,Dillenia,scabrella,Dillenia scabrella
1874,Dioclea,glycinoides,Dioclea glycinoides
1271,Dionaea,muscipula,Dionaea muscipula
363,Dioscorea,alata,Dioscorea alata
364,Dioscorea,bulbifera,Dioscorea bulbifera
365,Dioscorea,composita,Dioscorea composita
366,Dioscorea,pentaphylla,Dioscorea pentaphylla
367,Dioscorea,sp.,Dioscorea sp.
2167,Dioscorea,villosa,Dioscorea villosa
1507,Diospyros,abyssinica,Diospyros abyssinica
1508,Diospyros,argentea,Diospyros argentea
1173,Diospyros,buxifolia,Diospyros buxifolia
1509,Diospyros,canaliculata,Diospyros canaliculata
1510,Diospyros,celebica,Diospyros celebica
1511,Diospyros,chevalieri,Diospyros chevalieri
1512,Diospyros,cinnabarina,Diospyros cinnabarina
1513,Diospyros,consolatae,Diospyros consolatae
1514,Diospyros,crassiflora,Diospyros crassiflora
1515,Diospyros,dendo,Diospyros dendo
1175,Diospyros,derra,Diospyros derra
1223,Diospyros,digyna,Diospyros digyna
1174,Diospyros,discolour,Diospyros discolour
1516,Diospyros,ebenum,Diospyros ebenum
1517,Diospyros,elliptifolia,Diospyros elliptifolia
1518,Diospyros,eriantha,Diospyros eriantha
1731,Diospyros,ferrea,Diospyros ferrea
1519,Diospyros,fragrans,Diospyros fragrans
1520,Diospyros,gabunensis,Diospyros gabunensis
1521,Diospyros,gracilescens,Diospyros gracilescens
1732,Diospyros,greenwayi,Diospyros greenwayi
1176,Diospyros,hirsuta,Diospyros hirsuta
1522,Diospyros,hoyleana,Diospyros hoyleana
1523,Diospyros,ismailii,Diospyros ismailii
1524,Diospyros,iturensis,Diospyros iturensis
1525,Diospyros,japonica,Diospyros japonica
1177,Diospyros,kaki,Diospyros kaki
1526,Diospyros,kamerunensis,Diospyros kamerunensis
1527,Diospyros,leucomelas,Diospyros leucomelas
1528,Diospyros,longiflora,Diospyros longiflora
1178,Diospyros,lotus,Diospyros lotus
1733,Diospyros,mafiensis,Diospyros mafiensis
1529,Diospyros,maingayi,Diospyros maingayi
1530,Diospyros,malanonilau,Diospyros malanonilau
1531,Diospyros,mannii,Diospyros mannii
1532,Diospyros,maritima,Diospyros maritima
1179,Diospyros,melanoxylon,Diospyros melanoxylon
1533,Diospyros,mespiliformis,Diospyros mespiliformis
1534,Diospyros,mollis,Diospyros mollis
1535,Diospyros,monbuttensis,Diospyros monbuttensis
1536,Diospyros,montana,Diospyros montana
1537,Diospyros,moonii,Diospyros moonii
1180,Diospyros,morrisiana,Diospyros morrisiana
1734,Diospyros,natalensis,Diospyros natalensis
1538,Diospyros,oblongifolia,Diospyros oblongifolia
1181,Diospyros,perigrina,Diospyros perigrina
1539,Diospyros,quaesita,Diospyros quaesita
1540,Diospyros,rotundifolia,Diospyros rotundifolia
1541,Diospyros,sanza-minika,Diospyros sanza-minika
1542,Diospyros,siamang,Diospyros siamang
1543,Diospyros,siamensis,Diospyros siamensis
1544,Diospyros,siderophylla,Diospyros siderophylla
1545,Diospyros,singaporensis,Diospyros singaporensis
1546,Diospyros,spinescens,Diospyros spinescens
1547,Diospyros,sumatrana,Diospyros sumatrana
1548,Diospyros,sylvatica,Diospyros sylvatica
1549,Diospyros,thwaitesii,Diospyros thwaitesii
1182,Diospyros,tomentosa,Diospyros tomentosa
1550,Diospyros,undulata,Diospyros undulata
1451,Diospyros,verrucosa,Diospyros verrucosa
368,Diospyros,virginiana,Diospyros virginiana
1552,Diospyros,walkeri,Diospyros walkeri
1553,Diospyros,wallichii,Diospyros wallichii
1875,Dipogon,lignosus,Dipogon lignosus
1555,Dipterocarpus,glandulosus,Dipterocarpus glandulosus
1172,Dipterocarpus,hispidus,Dipterocarpus hispidus
1556,Dipterocarpus,insignis,Dipterocarpus insignis
1557,Dipterocarpus,zeylanicus,Dipterocarpus zeylanicus
369,Dipteryx,odorata,Dipteryx odorata
1424,Discaria,longispina,Discaria longispina
370,Dodonaea,viscosa,Dodonaea viscosa
1876,Dolichos,biflorus,Dolichos biflorus
1360,Dracocephalum,moldavica,Dracocephalum moldavica
629,Dracocephalum,parviflora,Dracocephalum parviflora
630,Dracocephalum,thymiflora,Dracocephalum thymiflora
371,Drimys,winteri,Drimys winteri
372,Drynaria,fortunei,Drynaria fortunei
373,Dryopteris,filix-mas,Dryopteris filix-mas
1558,Duboisia,leichhardtii,Duboisia leichhardtii
374,Duboisia,myoporoides,Duboisia myoporoides
1877,Dunbaria,villosa,Dunbaria villosa
375,Duranta,repens,Duranta repens
1224,Durio,zibethinus,Durio zibethinus
2125,Echinacea,angustifolia,Echinacea angustifolia
2126,Echinacea,pallida,Echinacea pallida
2127,Echinacea,purpurea,Echinacea purpurea
376,Echinacea,spp,Echinacea spp
1735,Echinops,echinatus,Echinops echinatus
1736,Echinops,niveus,Echinops niveus
1878,Echinospartium,horridum,Echinospartium horridum
1559,Ehretia,laevis,Ehretia laevis
1152,Elaeaegnus,oldhami,Elaeaegnus oldhami
1150,Elaeagnus,angustifolia,Elaeagnus angustifolia
1151,Elaeagnus,commutata,Elaeagnus commutata
1153,Elaeagnus,pungens,Elaeagnus pungens
1154,Elaeagnus,umbellatus,Elaeagnus umbellatus
1267,Elaeis,guineensis,Elaeis guineensis
1268,Elaeis,oleifera,Elaeis oleifera
1308,Eleocharis,dulcis,Eleocharis dulcis
377,Elettaria,cardamomum,Elettaria cardamomum
378,Eleutherococcus,senticosus,Eleutherococcus senticosus
1361,Elsholtzia,blanda,Elsholtzia blanda
1995,Elsholtzia,ciliata,Elsholtzia ciliata
1996,Elsholtzia,cristata,Elsholtzia cristata
1997,Elsholtzia,densa,Elsholtzia densa
1998,Elsholtzia,eriostachya,Elsholtzia eriostachya var. pusilla
1999,Elsholtzia,incisa,Elsholtzia incisa
2074,Elsholtzia,nipponica,Elsholtzia nipponica
2000,Elsholtzia,patrini,Elsholtzia patrini
2001,Elsholtzia,pilosa,Elsholtzia pilosa
2002,Elsholtzia,polystachya,Elsholtzia polystachya
379,Elytrigia,repens,Elytrigia repens
1362,Emilia,flammea,Emilia flammea
1737,Enterolobium,cyclocarpum,Enterolobium cyclocarpum
1363,Eperua,falcata,Eperua falcata
1364,Eperua,purpurea,Eperua purpurea
380,Ephedra,gerardiana,Ephedra gerardiana
381,Ephedra,nevadensis,Ephedra nevadensis
382,Ephedra,sinica,Ephedra sinica
383,Ephedra,spp,Ephedra spp
1738,Epilobium,rosmarinifolium,Epilobium rosmarinifolium
384,Equisetum,arvense,Equisetum arvense
385,Equisetum,hyemale,Equisetum hyemale
1560,Erica,arborea,Erica arborea
1879,Erinacea,anthyllis,Erinacea anthyllis
386,Eriobotrya,japonica,Eriobotrya japonica
387,Eriocaulon,sp,Eriocaulon sp
388,Eriodictyon,californicum,Eriodictyon californicum
1880,Eriosema,glomeratum,Eriosema glomeratum
1881,Eriosema,nutans,Eriosema nutans
1882,Eriosema,psoraleoides,Eriosema psoraleoides
1285,Eryngium,creticus,Eryngium creticus
389,Eryngium,floridanum,Eryngium floridanum
390,Eryngium,foetidum,Eryngium foetidum
391,Erythrina,berteroana,Erythrina berteroana
392,Erythrina,crista-galli,Erythrina crista-galli
393,Erythrina,fusca,Erythrina fusca
1411,Erythrina,senegalensis,Erythrina senegalensis
1883,Erythrina,sp,Erythrina sp
394,Erythrophleum,suaveolens,Erythrophleum suaveolens
1739,Erythrospermum,zeylanicum,Erythrospermum zeylanicum
1102,Erythroxylum,amazonicum,Erythroxylum amazonicum
1103,Erythroxylum,areolatum,Erythroxylum areolatum
1104,Erythroxylum,argentatum,Erythroxylum argentatum
1105,Erythroxylum,australe,Erythroxylum australe
1106,Erythroxylum,brownianum,Erythroxylum brownianum
1107,Erythroxylum,campestre,Erythroxylum campestre
1108,Erythroxylum,cataractarum,Erythroxylum cataractarum
1109,Erythroxylum,citrifolium,Erythroxylum citrifolium
395,Erythroxylum,coca,Erythroxylum coca var. coca
396,Erythroxylum,coca,Erythroxylum coca var. ipadu
1110,Erythroxylum,cumanense,Erythroxylum cumanense
1111,Erythroxylum,deciduum,Erythroxylum deciduum
1112,Erythroxylum,ellipticum,Erythroxylum ellipticum
1113,Erythroxylum,fimbriatum,Erythroxylum fimbriatum
1114,Erythroxylum,glaucum,Erythroxylum glaucum
1115,Erythroxylum,gracilipes,Erythroxylum gracilipes
1116,Erythroxylum,hypericifolium,Erythroxylum hypericifolium
1117,Erythroxylum,impressum,Erythroxylum impressum
1118,Erythroxylum,incrassatum,Erythroxylum incrassatum
1119,Erythroxylum,laurifolium,Erythroxylum laurifolium
1120,Erythroxylum,lucidum,Erythroxylum lucidum
1121,Erythroxylum,macrocnemum,Erythroxylum macrocnemum
1122,Erythroxylum,macrophyllum,Erythroxylum macrophyllum
1123,Erythroxylum,mamacoca,Erythroxylum mamacoca
1124,Erythroxylum,monogynum,Erythroxylum monogynum
1125,Erythroxylum,montanum,Erythroxylum montanum
1126,Erythroxylum,mucronatum,Erythroxylum mucronatum
397,Erythroxylum,novogranatense,Erythroxylum novogranatense var. novogranatense
398,Erythroxylum,novogranatense,Erythroxylum novogranatense var. truxillense
1127,Erythroxylum,ovatum,Erythroxylum ovatum
1128,Erythroxylum,panamense,Erythroxylum panamense
1129,Erythroxylum,pelleterianum,Erythroxylum pelleterianum
1130,Erythroxylum,pulchrum,Erythroxylum pulchrum
1131,Erythroxylum,recurrens,Erythroxylum recurrens
1132,Erythroxylum,retusum,Erythroxylum retusum
1133,Erythroxylum,rotundifolium,Erythroxylum rotundifolium
1134,Erythroxylum,shatoni,Erythroxylum shatoni
1135,Erythroxylum,sp.,Erythroxylum sp.
1136,Erythroxylum,steyermarkii,Erythroxylum steyermarkii
1137,Erythroxylum,ulei,Erythroxylum ulei
1138,Erythroxylum,vacciniifolium,Erythroxylum vacciniifolium
1139,Erythroxylum,zambesiacum,Erythroxylum zambesiacum
399,Eschscholzia,californica,Eschscholzia californica subsp. californica
1365,Eucalyptus,albens,Eucalyptus albens
2134,Eucalyptus,angulosa,Eucalyptus angulosa
1366,Eucalyptus,astringens,Eucalyptus astringens
2106,Eucalyptus,behriana,Eucalyptus behriana
1367,Eucalyptus,blakelyi,Eucalyptus blakelyi
1368,Eucalyptus,bosistoana,Eucalyptus bosistoana
1369,Eucalyptus,botryoides,Eucalyptus botryoides
1370,Eucalyptus,brassiana,Eucalyptus brassiana
1371,Eucalyptus,bridgesiana,Eucalyptus bridgesiana
2136,Eucalyptus,calophylla,Eucalyptus calophylla
1372,Eucalyptus,camaldulensis,Eucalyptus camaldulensis
2137,Eucalyptus,ceratocorys,Eucalyptus ceratocorys
400,Eucalyptus,citriodora,Eucalyptus citriodora
1373,Eucalyptus,cladocalyx,Eucalyptus cladocalyx
2138,Eucalyptus,cornea,Eucalyptus cornea
2139,Eucalyptus,corynocalyx,Eucalyptus corynocalyx
2105,Eucalyptus,cuprea,Eucalyptus cuprea
1374,Eucalyptus,dealbata,Eucalyptus dealbata
2113,Eucalyptus,desquamata,Eucalyptus desquamata
1375,Eucalyptus,diversicolor,Eucalyptus diversicolor
2140,Eucalyptus,dives,Eucalyptus dives
2141,Eucalyptus,dolichorhyncha,Eucalyptus dolichorhyncha
2142,Eucalyptus,erythrandra,Eucalyptus erythrandra
2116,Eucalyptus,fasiculosa,Eucalyptus fasiculosa
2143,Eucalyptus,forrestiana,Eucalyptus forrestiana
401,Eucalyptus,globulus,Eucalyptus globulus
2144,Eucalyptus,grandis,Eucalyptus grandis
2145,Eucalyptus,hemiphloia,Eucalyptus hemiphloia
2146,Eucalyptus,incrassata,Eucalyptus incrassata
2107,Eucalyptus,intertexta,Eucalyptus intertexta
2110,Eucalyptus,lansdowneana,Eucalyptus lansdowneana
2104,Eucalyptus,largisparsa,Eucalyptus largisparsa
2117,Eucalyptus,leucoxylon,Eucalyptus leucoxylon
2147,Eucalyptus,macrorrhuncha,Eucalyptus macrorrhuncha
1376,Eucalyptus,maculata,Eucalyptus maculata
1377,Eucalyptus,maideni,Eucalyptus maideni
2115,Eucalyptus,melanophloia,Eucalyptus melanophloia
1378,Eucalyptus,melliodora,Eucalyptus melliodora
1379,Eucalyptus,moluccana,Eucalyptus moluccana
1380,Eucalyptus,nova-anglica,Eucalyptus nova-anglica
1381,Eucalyptus,occidentalis,Eucalyptus occidentalis
2108,Eucalyptus,ochrophloia,Eucalyptus ochrophloia
2112,Eucalyptus,odorata,Eucalyptus odorata
1382,Eucalyptus,oviformis,Eucalyptus oviformis
1383,Eucalyptus,paniculata,Eucalyptus paniculata
1384,Eucalyptus,polyanthemos,Eucalyptus polyanthemos
2102,Eucalyptus,populnea,Eucalyptus populnea
2111,Eucalyptus,porosa,Eucalyptus porosa
2148,Eucalyptus,punctata,Eucalyptus punctata
2149,Eucalyptus,robusta,Eucalyptus robusta
2150,Eucalyptus,rostratus,Eucalyptus rostratus
1385,Eucalyptus,saligna,Eucalyptus saligna
1386,Eucalyptus,siderophloia,Eucalyptus siderophloia
1387,Eucalyptus,sideroxylon,Eucalyptus sideroxylon
2151,Eucalyptus,sp,Eucalyptus sp
2103,Eucalyptus,sparsa,Eucalyptus sparsa
2152,Eucalyptus,stoatei,Eucalyptus stoatei
1388,Eucalyptus,tereticornis,Eucalyptus tereticornis
2153,Eucalyptus,tetraptera,Eucalyptus tetraptera
2154,Eucalyptus,viminalis,Eucalyptus viminalis
2114,Eucalyptus,viridis,Eucalyptus viridis
2155,Eucalyptus,wandoo,Eucalyptus wandoo
1561,Euclea,crispa,Euclea crispa
1562,Euclea,divinorum,Euclea divinorum
1740,Euclea,natalensis,Euclea natalensis
402,Eucommia,ulmoides,Eucommia ulmoides
1225,Eugenia,brasiliensis,Eugenia brasiliensis
1242,Eugenia,floribunda,Eugenia floribunda
1197,Eugenia,fruticosa,Eugenia fruticosa
1198,Eugenia,jambolana,Eugenia jambolana
1226,Eugenia,uniflora,Eugenia uniflora
1199,Eugenia,wallichii,Eugenia wallichii
403,Euodia,rutaecarpa,Euodia rutaecarpa
404,Euonymus,atropurpureus,Euonymus atropurpureus
1563,Euonymus,echinatus,Euonymus echinatus
1279,Eupatorium,odoratum,Eupatorium odoratum
405,Eupatorium,perfoliatum,Eupatorium perfoliatum
1286,Eupatorium,triplinerve,Eupatorium triplinerve
1564,Euphorbia,broteri,Euphorbia broteri
1565,Euphorbia,hermentiana,Euphorbia hermentiana
406,Euphorbia,hirta,Euphorbia hirta
407,Euphorbia,lathyris,Euphorbia lathyris
1566,Euphorbia,paralias,Euphorbia paralias
408,Euphorbia,pulcherrima,Euphorbia pulcherrima
409,Euphorbia,tirucalli,Euphorbia tirucalli
410,Euphrasia,officinalis,Euphrasia officinalis
1741,Euptelea,polyandra,Euptelea polyandra
1430,Eurya,acuminata,Eurya acuminata
1742,Eurya,japonica,Eurya japonica
1567,Fagonia,cretica,Fagonia cretica
1568,Fagonia,indica,Fagonia indica
411,Fagopyrum,esculentum,Fagopyrum esculentum
1743,Fagus,taurica,Fagus taurica
1227,Feijoa,sellowiana,Feijoa sellowiana
412,Ferula,alliacea,Ferula alliacea
413,Ferula,assa-foetida,Ferula assa-foetida
414,Ferula,gummosa,Ferula gummosa
415,Ferula,jaeschkeana,Ferula jaeschkeana
416,Ferula,sumbul,Ferula sumbul
417,Ficus,carica,Ficus carica
1744,Ficus,thunbergii,Ficus thunbergii
418,Filipendula,ulmaria,Filipendula ulmaria
419,Firmiana,simplex,Firmiana simplex
1884,Flemingia,strobilifera,Flemingia strobilifera
1569,Flindersia,pimenteliana,Flindersia pimenteliana
420,Foeniculum,vulgare,Foeniculum vulgare
1745,Formosia,benthamiana,Formosia benthamiana
421,Forsythia,suspensa,Forsythia suspensa
1747,Forsythia,viridissima,Forsythia viridissima
422,Fragaria,spp,Fragaria spp
423,Frangula,alnus,Frangula alnus
1570,Fraxinus,americana,Fraxinus americana
1278,Fraxinus,ornus,Fraxinus ornus
424,Fraxinus,rhynchophylla,Fraxinus rhynchophylla
425,Fritillaria,thunbergii,Fritillaria thunbergii
426,Fucus,vesiculosus,Fucus vesiculosus
1885,Galactia,jussiaeana,Galactia jussiaeana
2003,Galeopsis,segetum,Galeopsis segetum
427,Galeopsis,tetrahit,Galeopsis tetrahit
428,Galipea,officinalis,Galipea officinalis
429,Galium,odoratum,Galium odoratum
2161,Ganoderma,lucidum,Ganoderma lucidum
2123,Garcinia,cambogia,Garcinia cambogia
430,Garcinia,hanburyi,Garcinia hanburyi
1228,Garcinia,mangostana,Garcinia mangostana
1571,Garcinia,xanthochymus,Garcinia xanthochymus
431,Gardenia,jasminoides,Gardenia jasminoides
432,Gastrodia,elata,Gastrodia elata
1099,Gaultheria,fragrantissima,Gaultheria fragrantissima
433,Gaultheria,procumbens,Gaultheria procumbens
1389,Geissospermum,laeve,Geissospermum laeve
1390,Geissospermum,vellosii,Geissospermum vellosii
434,Gelsemium,sempervirens,Gelsemium sempervirens
435,Genipa,americana,Genipa americana
1886,Genista,clavata,Genista clavata
1887,Genista,germanica,Genista germanica
1888,Genista,hispanica,Genista hispanica
1889,Genista,lydia,Genista lydia
1890,Genista,ovata,Genista ovata
1891,Genista,patula,Genista patula
1892,Genista,rumelica,Genista rumelica
1893,Genista,sp,Genista sp
436,Genista,tinctoria,Genista tinctoria
437,Gentiana,acaulis,Gentiana acaulis
438,Gentiana,lutea,Gentiana lutea
439,Gentiana,scabra,Gentiana scabra
440,Geranium,maculatum,Geranium maculatum
441,Geranium,thunbergii,Geranium thunbergii
1572,Givotia,rottleriformis,Givotia rottleriformis
443,Glaucium,flavum,Glaucium flavum
444,Glechoma,hederacea,Glechoma hederacea
1573,Glechoma,hirsuta,Glechoma hirsuta
445,Gleditsia,triacanthos,Gleditsia triacanthos
447,Gliricidia,sepium,Gliricidia sepium
448,Gloriosa,superba,Gloriosa superba
449,Glycine,max,Glycine max
1894,Glycine,wightii,Glycine wightii
450,Glycyrrhiza,glabra,Glycyrrhiza glabra
1748,Glycyrrhiza,squamulosa,Glycyrrhiza squamulosa
451,Glycyrrhiza,uralensis,Glycyrrhiza uralensis
1574,Gmelina,arborea,Gmelina arborea
1309,Gnaphalium,viscosum,Gnaphalium viscosum
1749,Gochnatia,blanchetiana,Gochnatia blanchetiana
452,Gossypium,sp,Gossypium sp
1427,Gratifolia,officianalis,Gratifolia officianalis
1575,Grewia,asiatica,Grewia asiatica
1576,Grewia,bicolor,Grewia bicolor
1577,Grewia,flavescens,Grewia flavescens
1578,Grewia,tenax,Grewia tenax
1579,Grewia,tiliaefolia,Grewia tiliaefolia
453,Grindelia,squarrosa,Grindelia squarrosa
454,Guaiacum,sp.,Guaiacum sp.
455,Guarea,rusbyi,Guarea rusbyi
1200,Guatteria,discolor,Guatteria discolor
1201,Guatteria,scadens,Guatteria scadens
1580,Guazuma,tomentosa,Guazuma tomentosa
456,Guazuma,ulmifolia,Guazuma ulmifolia
2133,Gymnema,sylvestre,Gymnema sylvestre
1581,Gymnostachyum,latifolium,Gymnostachyum latifolium
1750,Gypsophila,struthium,Gypsophila struthium
1310,Haematoxylum,campechianum,Haematoxylum campechianum
457,Hamamelis,virginiana,Hamamelis virginiana
458,Hamelia,patens,Hamelia patens
1582,Haplophyton,cimicidum,Haplophyton cimicidum
1895,Hardenbergia,violacea,Hardenbergia violacea
459,Harpagophytum,procumbens,Harpagophytum procumbens
460,Hedeoma,drummondii,Hedeoma drummondii
461,Hedeoma,hispida,Hedeoma hispida
462,Hedeoma,pulegioides,Hedeoma pulegioides
463,Hedeoma,reverchonii,Hedeoma reverchonii
464,Hedera,helix,Hedera helix
1583,Hedyotis,lawsoniae,Hedyotis lawsoniae
465,Heimia,salicifolia,Heimia salicifolia
466,Helianthus,annuus,Helianthus annuus
467,Helianthus,tuberosus,Helianthus tuberosus
468,Helichrysum,angustifolium,Helichrysum angustifolium
1584,Helichrysum,bilobum,Helichrysum bilobum
469,Heliotropium,europaeum,Heliotropium europaeum
470,Heliotropium,indicus,Heliotropium indicus
471,Helleborus,niger,Helleborus niger
472,Hemidesmus,indicus,Hemidesmus indicus
473,Hemsleya,amabilis,Hemsleya amabilis
1272,Heracleum,laciniatum,Heracleum laciniatum
1751,Herpestis,monniera,Herpestis monniera
1752,Hibiscus,mutabilis,Hibiscus mutabilis
1311,Hibiscus,rosa-sinensis,Hibiscus rosa-sinensis
474,Hibiscus,sabdariffa,Hibiscus sabdariffa
1585,Hibiscus,syriacus,Hibiscus syriacus
1312,Hippeastrum,vittatum,Hippeastrum vittatum
475,Hippomane,mancinella,Hippomane mancinella
1149,Hippophae,rhamnoides,Hippophae rhamnoides
1753,Hoffmannia,strigillosa,Hoffmannia strigillosa
1586,Holacantha,emoryi,Holacantha emoryi
476,Holarrhena,pubescens,Holarrhena pubescens
1587,Hopea,brevipetiolaris,Hopea brevipetiolaris
1588,Hopea,cordifolia,Hopea cordifolia
1589,Hopea,jucunda,Hopea jucunda
477,Hordeum,vulgare,Hordeum vulgare
478,Hoslundia,opposita,Hoslundia opposita
479,Houttuynia,cordata,Houttuynia cordata
480,Humulus,lupulus,Humulus lupulus
481,Huperzia,spp,Huperzia spp
482,Hura,crepitans,Hura crepitans
483,Hyacinthus,orientalis,Hyacinthus orientalis
1391,Hybanthus,enneasperma,Hybanthus enneasperma
484,Hydnocarpus,anthelminticus,Hydnocarpus anthelminticus
485,Hydnocarpus,kurzii,Hydnocarpus kurzii
1187,Hydnocarpus,venenata,Hydnocarpus venenata
486,Hydnocarpus,wightiana,Hydnocarpus wightiana
487,Hydrangea,arborescens,Hydrangea arborescens
488,Hydrangea,paniculata,Hydrangea paniculata
1590,Hygrophila,auriculata,Hygrophila auriculata
1229,Hylocereus,guatemalensis,Hylocereus guatemalensis
1230,Hylocereus,undatus,Hylocereus undatus
1392,Hymenaea,courbaril,Hymenaea courbaril
1393,Hymenaea,verrucosa,Hymenaea verrucosa
490,Hyoscyamus,niger,Hyoscyamus niger
1754,Hypericum,androsaemum,Hypericum androsaemum
1755,Hypericum,elatum,Hypericum elatum
1756,Hypericum,patulum,Hypericum patulum
491,Hypericum,perforatum,Hypericum perforatum
1757,Hyptis,albida,Hyptis albida
492,Hyptis,emoryi,Hyptis emoryi
493,Hyptis,spicata,Hyptis spicata
494,Hyptis,suaveolens,Hyptis suaveolens
1433,Hyptis,verticillata,Hyptis verticillata
1591,Hyssopus,ferganensis,Hyssopus ferganensis
1983,Hyssopus,officinalis,Hyssopus officinalis subsp. aristatus
495,Hyssopus,officinalis,Hyssopus officinalis
1592,Hyssopus,seravshanicus,Hyssopus seravshanicus
1394,Iberis,amara,Iberis amara
496,Ilex,paraguariensis,Ilex paraguariensis
1593,Ilex,verticillata,Ilex verticillata
497,Illicium,verum,Illicium verum
1395,Impatiens,balsamina,Impatiens balsamina
498,Indigofera,tinctoria,Indigofera tinctoria
1231,Inga,edulis,Inga edulis
1232,Inga,feuillei,Inga feuillei
1758,Inga,punctata,Inga punctata
1396,Inocarpus,edulis,Inocarpus edulis
499,Inula,helenium,Inula helenium
500,Ipomoea,aquatica,Ipomoea aquatica
501,Ipomoea,batatas,Ipomoea batatas
502,Ipomoea,purga,Ipomoea purga
503,Ipomoea,violacea,Ipomoea violacea
1759,Iris,missouriensis,Iris missouriensis
505,Iris,versicolor,Iris versicolor
504,Iris,x germanica,Iris x germanica
506,Isanthus,brachiatus,Isanthus brachiatus
507,Isatis,tinctoria,Isatis tinctoria
1397,Isertia,hypoleuca,Isertia hypoleuca
1760,Jacaranda,caucana,Jacaranda caucana
508,Jasminum,officinale,Jasminum officinale
1761,Jasminum,sambac,Jasminum sambac
509,Jateorhiza,palmata,Jateorhiza palmata
510,Jatropha,curcas,Jatropha curcas
511,Jatropha,gossypifolia,Jatropha gossypifolia
1398,Jessenia,bataua,Jessenia bataua
512,Juglans,cinerea,Juglans cinerea
513,Juglans,nigra,Juglans nigra
514,Juglans,regia,Juglans regia
515,Juncus,effusus,Juncus effusus
516,Juniperus,communis,Juniperus communis
1594,Juniperus,horizontalis,Juniperus horizontalis
1202,Juniperus,macropoda,Juniperus macropoda
517,Juniperus,oxycedrus,Juniperus oxycedrus
518,Juniperus,sabina,Juniperus sabina
519,Juniperus,virginiana,Juniperus virginiana
520,Jussiaea,repens,Jussiaea repens
1762,Jussiaea,suffruticosa,Jussiaea suffruticosa
521,Justicia,adhatoda,Justicia adhatoda
522,Justicia,gendarussa,Justicia gendarussa
523,Justicia,pectoralis,Justicia pectoralis
1399,Justicia,procumbens,Justicia procumbens
525,Kalanchoe,daegrimontiana,Kalanchoe daegrimontiana
1313,Kalanchoe,gastonis-bonnieri,Kalanchoe gastonis-bonnieri
526,Kalanchoe,pinnata,Kalanchoe pinnata
527,Kalanchoe,spathulata,Kalanchoe spathulata
528,Kalmia,latifolia,Kalmia latifolia
1193,Kayea,stylosa,Kayea stylosa
1896,Kennedia,coccinea,Kennedia coccinea
1898,Kennedia,procurrens,Kennedia procurrens
1899,Kennedia,rubicunda,Kennedia rubicunda
1595,Kleinhovia,hospita,Kleinhovia hospita
529,Krameria,spp,Krameria spp
530,Krameria,triandra,Krameria triandra
531,Lablab,purpureus,Lablab purpureus
1900,Laburnum,alpinum,Laburnum alpinum
532,Laburnum,anagyroides,Laburnum anagyroides
533,Lachnanthes,tinctoria,Lachnanthes tinctoria
534,Lactuca,sativa,Lactuca sativa
535,Lactuca,scariola,Lactuca scariola
536,Lactuca,virosa,Lactuca virosa
537,Lagenaria,siceraria,Lagenaria siceraria
538,Lagerstroemia,indica,Lagerstroemia indica
539,Lagochilus,inebrians,Lagochilus inebrians
2004,Lamium,sp,Lamium sp
540,Lantana,camara,Lantana camara
1596,Larix,laricina,Larix laricina
541,Larrea,tridentata,Larrea tridentata
1597,Lasianthus,chinensis,Lasianthus chinensis
542,Latua,pubiflora,Latua pubiflora
