FNFNUM,GENUS,SPECIES,TAXON
80,Anemarrhena,asphodeloides,Anemarrhena asphodeloides
1698,Anemone,narcissiflora,Anemone narcissiflora
82,Anemone,pulsatilla,Anemone pulsatilla
83,Anethum,graveolens,Anethum graveolens
84,Angelica,archangelica,Angelica archangelica
85,Angelica,dahurica,Angelica dahurica
86,Angelica,laxiflora,Angelica laxiflora
87,Angelica,sinensis,Angelica sinensis
88,Aniba,rosaeodora,Aniba rosaeodora
1985,Anisochilus,carnosus,Anisochilus carnosus
89,Anisodus,tanguticus,Anisodus tanguticus
1986,Anisomeles,indica,Anisomeles indica
1194,Anisomeles,malabarica,Anisomeles malabarica
90,Annona,cherimola,Annona cherimola
1213,Annona,diversifolia,Annona diversifolia
1097,Annona,glabra,Annona glabra
1098,Annona,montana,Annona montana
91,Annona,muricata,Annona muricata
92,Annona,reticulata,Annona reticulata
93,Annona,squamosa,Annona squamosa
94,Anogeissus,latifolia,Anogeissus latifolia
1294,Anredera,baselloides,Anredera baselloides
95,Anthriscus,cerefolium,Anthriscus cerefolium
1831,Apios,americana,Apios americana
96,Apium,graveolens,Apium graveolens
97,Apocynum,androsaemifolium,Apocynum androsaemifolium
98,Apocynum,cannabinum,Apocynum cannabinum
99,Aquilaria,agallocha,Aquilaria agallocha
100,Aquilegia,vulgaris,Aquilegia vulgaris
101,Arachis,hypogaea,Arachis hypogaea
102,Aralia,cordata,Aralia cordata
1296,Araucaria,bidwillii,Araucaria bidwillii
1183,Arbutus,menziesii,Arbutus menziesii
103,Arbutus,unedo,Arbutus unedo
104,Arctium,lappa,Arctium lappa
105,Arctostaphylos,uva-ursi,Arctostaphylos uva-ursi
106,Ardisia,japonica,Ardisia japonica
107,Areca,catechu,Areca catechu
1295,Arecastrum,romanzoffianum,Arecastrum romanzoffianum
108,Argemone,mexicana,Argemone mexicana
109,Argyreia,nervosa,Argyreia nervosa
110,Argyreia,speciosa,Argyreia speciosa
1832,Argyrocytisus,battandieri,Argyrocytisus battandieri
111,Arisaema,consanguineum,Arisaema consanguineum
112,Arisaema,triphyllum,Arisaema triphyllum
113,Aristolochia,debilis,Aristolochia debilis
114,Aristolochia,serpentaria,Aristolochia serpentaria
115,Armoracia,rusticana,Armoracia rusticana
116,Arnica,montana,Arnica montana
117,Arracacia,xanthorrhiza,Arracacia xanthorrhiza
118,Artemisia,abrotanum,Artemisia abrotanum
119,Artemisia,absinthium,Artemisia absinthium
120,Artemisia,annua,Artemisia annua
121,Artemisia,capillaris,Artemisia capillaris
122,Artemisia,cina,Artemisia cina
123,Artemisia,dracunculus,Artemisia dracunculus
124,Artemisia,herba-alba,Artemisia herba-alba
125,Artemisia,maritima,Artemisia maritima
126,Artemisia,pallens,Artemisia pallens
5001,Artemisia,salsoloides,Artemisia salsoloides
127,Artemisia,vulgaris,Artemisia vulgaris
128,Artocarpus,altilis,Artocarpus altilis
129,Artocarpus,heterophyllus,Artocarpus heterophyllus
1459,Artocarpus,integrifolia,Artocarpus integrifolia
130,Arundo,donax,Arundo donax
131,Asarum,canadense,Asarum canadense
132,Asclepias,syriaca,Asclepias syriaca
134,Asiasarum,sieboldii,Asiasarum sieboldii
135,Asimina,triloba,Asimina triloba
136,Asparagus,lucidus,Asparagus lucidus
137,Asparagus,officinalis,Asparagus officinalis
1699,Aspidixia,angulata,Aspidixia angulata
138,Aspidosperma,quebracho-blanco,Aspidosperma quebracho-blanco
139,Astragalus,gummifer,Astragalus gummifer
140,Astragalus,membranaceus,Astragalus membranaceus
1460,Atractylis,carduus,Atractylis carduus
141,Atractylodes,lancea,Atractylodes lancea
142,Atractylodes,ovata,Atractylodes ovata
143,Atropa,bella-donna,Atropa bella-donna
144,Avena,sativa,Avena sativa
1214,Averrhoa,bilimbi,Averrhoa bilimbi
1207,Averrhoa,carambola,Averrhoa carambola
1461,Avicennia,alba,Avicennia alba
1163,Avicennia,marina,Avicennia marina
1462,Avicennia,officinalis,Avicennia officinalis
1463,Avicennia,tomentosa,Avicennia tomentosa
146,Azadirachta,indica,Azadirachta indica
1215,Bactris,gasipaes,Bactris gasipaes
