236,Ipecac
236,Raicilla
237,Plum Yew
238,Fortune's Plum Yew
239,Hainan Plum Yew
240,Japanese Plum Yew
241,Mann's Plum Yew
242,Generic Plum Yew
243,Wilson's Plum Yew
244,Carob
244,St.John's-Bread
245,Chinese Quince
245,Mu-Kua
246,Garden Camomile
246,Perennial Camomile
246,Roman Camomile
247,Spurge
248,Celandine
249,Lambsquarter
250,Epazote
250,Wormseed
251,King's Cure
251,Pipsissewa
252,Curare
253,Irish Moss
254,Balsamite
254,Costmary
255,Pyrethrum
256,Garland Chrysanthemum
257,Feverfew
258,Chickpea
258,Garbanzo
259,Endive
259,Escarole
260,Chicory
260,Witloof
261,Water Hemlock
262,Sheng Ma
263,Black Cohosh
264,Quinine
265,Cassia
266,Java Cinnamon
266,Padang Cassia
267,Camphor
267,Ho Leaf
268,Japanese Cinnamon
269,Cinnamon
270,Butua
270,False Pareira
270,Pareira
271,Broomrape
271,Cistanchis Herba
271,Jou Tsung Jung
272,Ambreine
272,Gum Cistus
272,Labdanum
272,Rockrose
273,Colocynth
274,Watermelon
275,Lime
276,Petitgrain
279,Lemon
280,Citron
281,Mandarin
281,Tangerine
282,Orange
283,Grapefruit
284,Traveler's Joy
285,Blessed Thistle
286,Jih-Chiung
287,Chaya
288,Coconut
289,Coffee
290,Adlay
290,Adlay Millet
290,Job'S-Tears
290,Yi-Yi-Ren
291,Abata Cola
292,Autumn Crocus
292,Meadow Saffron
293,Forskohl's Coleus
294,Forskohl's Coleus
295,El Nene
296,Stone Root
297,Taro
298,Myrrh
299,Poison Hemlock
300,Larkspur
301,Lily-Of-The-Valley
302,Butterweed
302,Hogweed
302,Horseweed
303,Copaiba
304,Chinese Goldthread
304,Huang-Lian
304,Huang-Lien
305,Huang-Lia
305,Huang-Lian
305,Huang-Lien
305,Japanese Goldthread
306,Generic Goldthread
307,Jew's Mallow
307,Mulukiya
307,Nalta Jute
308,Coriander
309,Mealy Tree
310,Ground Toot
310,Shanshi
311,American Dogwood
312,Chinese Dogwood
313,Fumewort
314,English Filbert
315,Hawthorn
316,Hawthorn
317,Jicaro
318,Saffron
319,Sunhemp
320,Rattlepod
321,Cascarilla
322,Purging Croton
323,Rubber Vine
324,Cantaloupe
324,Melon
325,Cucumber
326,Pumpkin
327,Pumpkin
328,Summer Squash
329,Cumin
330,Mountain Dittany
331,Turmeric
332,Javan Turmeric
333,Shoti
333,Zedoary
334,Sago Cycas
335,Achocha
336,Quince
337,West Indian Lemongrass
338,East Indian Lemongrass
339,Palmarosa
339,Rosha Grass
340,Ceylon Citronella
340,Citronella
341,Skhabar
342,Java Citronella
342,Mahapengiri
343,Bai-Wei
343,Pai-Wei
344,Artichoke
345,Nutsedge
346,Tamarillo
346,Tree Tomato
347,Ladyslipper
348,Swamp Taro
349,Scotch Broom
350,Dragon's Blood
351,Yuan Hua
352,Spurge Laurel
352,Spurge Olive
353,Borrachero
353,Floripondio
354,Thorn Apple
355,Hindu Datura
356,Jimsonweed
357,Carrot
358,Noble Dendrobium
359,Akgiritotu
359,Burning Bush
359,Dittany
359,Gas Plant
359,Gazelotu
360,Dumbcane
361,Grecian Foxglove
362,Purple Foxglove
363,Greater Yam
363,Winged Yam
364,Air Potato
364,Potato Yam
365,Barbasco
366,Mountain Yam
367,Wild Yam
368,American Persimmon
369,Tonka Bean
370,Hopwood
371,Winter's Bark
372,Fortune's Fern
373,Male Fern
374,Corkwood Tree
374,Pituri
375,Golden Dewdrop
376,Coneflower
376,Echinacea
377,Cardamom
378,Eleuthero Ginseng
378,Siberian Ginseng
378,Spiny Ginseng
378,Wu jia
379,Couchgrass
379,Doggrass
379,Quackgrass
380,Pakistani Ephedra
381,Brigham Tea
381,Mormon Tea
382,Ma Huang
383,Ma-Huang
384,Field Horsetail
384,Horsetail
385,Horsetail
385,Scouring Rush
386,Loquat
387,Oriental Pipewort
388,Yerba Santa
389,Florida Eryngium
390,Culantro
391,Pito
392,Cockspur Coral Tree
393,Coral Bean
393,Gallito
394,Ordeal Tree
394,Sassy Bark
395,Coca
396,Amazonian Coca
396,Ipadu
397,Coca
398,Coca
399,California Poppy
400,Lemon Eucalyptus
401,Blue Gum
402,Tu Chung
403,Wou Chou Yu
404,Burning Bush
404,Wahoo
405,Boneset
406,Queensland Asthma Herb
407,Caper Spurge
407,Mole Plant
408,Poinsettia
409,Aveloz
410,Eyebright
411,Buckwheat
412,Garlic Ferula
413,Asafetida
414,Galbanum
415,Jaechke's Ferula
416,Sumbul
417,Fig
418,Meadowsweet
418,Queen Of The Meadow
419,Chinese Parasol
420,Fennel
421,Lian-Jiao
421,Lien-Chiao
422,Strawberry
423,Buckthorn
424,Chinese Ash
425,Bei-Mu
425,Fritillary
426,Bladderwrack
427,Hemp Nettle
428,Angostura
429,Waldmeister
429,Woodruff
430,Gamboge
431,Gardenia
431,Shan-Chih-Tzu
431,Shan-Zhi-Zi
432,Tian Ma
433,Teaberry
433,Wintergreen
434,Yellow Jessamine
435,Genipap
435,Jagua
436,Dyer's Broom
437,Stemless Gentian
438,Yellow Gentian
439,Japanese Gentian
440,Cranesbill
441,Gennoshiouko
441,Oriental Geranium
442,Ginkgo
442,Maidenhair Tree
443,Horned Poppy
444,Alehoof
445,Honey Locust
446,Bei Sha Shen
447,Mata Raton
448,Glory Lily
449,Soybean
450,Commom Licorice
450,Licorice
450,Smooth Licorice
451,Chinese Licorice
451,Gan-Cao
451,Kan-Tsao
452,Cotton
453,Gumweed
453,Rosinweed
454,Guaiac
455,Cocillana
456,Bay Cedar
457,Witch Hazel
458,Scarlet Bush
459,Devil's Claw
459,Grapple Plant
460,Drummond's Pennyroyal
461,Hispid Pennyroyal
462,American Pennyroyal
463,Reverchon's Pennyroyal
464,Ivy
465,Sinicuichi
466,Sunflower
467,Jerusalem Artichoke
468,Everlasting
468,Immortelle
469,Heliotrope
469,Turnsole
470,Indian Heliotrope
471,Black Hellebore
471,Christmas Rose
472,Indian Sarsaparilla
473,Luo Guo
474,Roselle
475,Manchineel
476,Tellicherry Bark
477,Barley
478,Kamyuye
479,Fishwort
480,Hops
481,Cutleaf Clubmoss
482,Sandbox Tree
483,Hyacinth
484,Thai Chaulmoogra
485,True Chaulmoogra
486,Hindi Chaulmoogra
487,Smooth Hydrangea
488,Peegee
489,Goldenseal
490,Henbane
491,Common St. Johnswort
491,Hypericum
491,Klamath Weed
492,Desert Lavender
493,Spicate Hyptis
494,Wild Hops
495,Hyssop
496,Mate
496,Paraguay Tea
496,South American Holly
497,Star Anise
498,Common Indigo
499,Elecampane
500,Swamp Cabbage
500,Water Spinach
501,Sweet Potato
502,Jalap
503,Ololiuqui
503,Tlitlitzen
504,Orris
505,Blue Flag
506,False Pennyroyal
507,Dyer's Woad
508,Jasmine
508,Poet's Jessamine
509,Calumba Root
510,Physic Nut
510,Purging Nut
511,Spanish Physic Nut
512,Butternut
513,Black Walnut
514,English Walnut
515,Rush
516,Common Juniper
516,Juniper
517,Cade Oil
517,Spanish Cedar
518,Sabine
519,Red Cedar
520,Jussiaeae Herba
520,Pond Dragon
521,Malabar Nut
522,Gandarussa
523,Angel Of Death
523,Bolek Hena
524,Maraba
525,Devil's-Backbone
526,Air Plant
526,Siempre Viva
527,Beach Bells
528,Mountain Laurel
529,Rhatany
530,Rhatany
531,Bonavist Bean
531,Hyacinth Bean
531,Lablab Bean
532,Golden Chain Tree
533,Redroot
534,Lettuce
535,Prickly Lettuce
536,Bitter Lettuce
537,Calabash Gourd
537,White-Flowered Gourd
538,Crape Myrtle
539,Intoxicating Mint
540,Lantana
540,Wild Sage
541,Chaparral
541,Creosote Bush
542,Latua
543,Bayleaf
544,English Lavender
545,Aspic
545,Broad-Leaved Lavender
545,Spike Lavender
546,Dutch Lavender
546,Lavandin
547,Henna
547,Mignonette
548,Marsh Tea
548,Wild Rosemary
549,Lentil
550,Woody Lion's-Ear
551,Lion's Ear
552,Catnipleaf Lion's-Ear
553,Motherwort
554,Epling's Lepechinia
555,Schiede's Lepechinia
556,Garden Cress
557,Lovage
558,Japanese Privet
558,Ligustri Fructus
559,Chinese Privet
559,Glossy Privet
559,Ligustri Fructus
559,Privet
560,Common Privet
561,Flax
561,Linseed
562,Sweet Herb
563,Oregano
564,Oriental Storax
564,Oriental Styrax
565,American Styrax
565,Sweetgum
566,Indian Tobacco
567,Devil's Tobacco
568,Darnel
568,Tares
569,Japanese Honeysuckle
570,Dan Zhu Ye
571,Peyote
572,Luffa
572,Smooth Loofah
572,Vegetable Sponge
573,White Lupine
574,Andean Lupine
574,Chocho
